userId,factor_0,factor_1,factor_2
130,0.3363659329449263,0.32096881860295673,0.34266524845211704
131,0.33264532594929563,0.3294241269228972,0.3379305471278071
132,0.33842532558932975,0.3209548116955724,0.34061986271509787
133,0.337761720808191,0.33035563935788775,0.33188263983392136
134,0.3437127400118098,0.32759533200669855,0.32869192798149166
135,0.3451389841618059,0.31935507919423345,0.3355059366439607
136,0.33440872971264907,0.3274173165046058,0.3381739537827452
137,0.33676568348163244,0.3228164828222687,0.34041783369609885
138,0.337956253945999,0.3249151397247697,0.3371286063292313
139,0.3339837778660296,0.326916257827587,0.3390999643063833
140,0.336483810211971,0.3251849715940211,0.33833121819400785
141,0.32882268895146244,0.32940061185934294,0.34177669918919457
142,0.3442766400492235,0.31751392835628917,0.3382094315944873
143,0.32750538858351486,0.33084682580266994,0.34164778561381526
144,0.3350915329377565,0.3289058769946215,0.336002590067622
145,0.32304718325625376,0.34147200560557767,0.3354808111381685
146,0.33240580699816324,0.32939849487448036,0.3381956981273564
147,0.33524798566815,0.32453797927064953,0.3402140350612005
148,0.33346814132004116,0.3264987609451076,0.3400330977348513
149,0.3330799754292023,0.3262789414060139,0.34064108316478386
150,0.33592208824829384,0.32509691980775934,0.3389809919439467
151,0.3288230939375696,0.32992809474413975,0.3412488113182907
152,0.33843009979654903,0.3222485742238474,0.3393213259796037
153,0.3233086948552214,0.33690503891345414,0.33978626623132435
154,0.33134929625176796,0.3325524089139859,0.3360982948342461
155,0.3245248268202942,0.33600633520523804,0.3394688379744678
156,0.34028009851508084,0.32445731846951875,0.3352625830154004
157,0.3317973598129334,0.32995944837325575,0.33824319181381074
158,0.33431451174774696,0.32709868857861046,0.3385867996736426
159,0.33414004757713794,0.329147023613833,0.33671292880902903
160,0.3406127454967211,0.323784395094387,0.3356028594088919
161,0.33258910825361304,0.3302406820949241,0.337170209651463
162,0.33518849623159425,0.3285381536216112,0.33627335014679455
163,0.3310340081422572,0.3286929129377972,0.3402730789199456
164,0.3385956068969858,0.31951459395628823,0.34188979914672596
165,0.33120931376332985,0.32431490312712213,0.3444757831095481
166,0.3360524016780059,0.32637319521686703,0.33757440310512704
167,0.3480931459791726,0.3218946461845357,0.3300122078362917
168,0.335243784917158,0.3213335592363783,0.3434226558464637
169,0.3387326843917949,0.3201717785387862,0.34109553706941903
170,0.3362881925717376,0.32157559245122974,0.3421362149770327
171,0.34049210339188124,0.3217824980979688,0.33772539851015004
172,0.33149274986464033,0.33251785696614683,0.33598939316921284
173,0.3349126571907425,0.32536731380718953,0.339720029002068
174,0.3208901526735615,0.3287179945589166,0.3503918527675218
175,0.3372959335862044,0.3249469823084856,0.33775708410530986
176,0.33104988556142845,0.3245487493181322,0.34440136512043945
177,0.3282652811885291,0.33097862400966255,0.3407560948018083
178,0.3388462387102583,0.32317215666319593,0.33798160462654575
179,0.33105731714577036,0.33639442316782275,0.332548259686407
180,0.3302541931927095,0.33286092285646923,0.3368848839508213
181,0.3240917662405939,0.33404443669839734,0.34186379706100883
182,0.33612673845986124,0.3286942732017545,0.3351789883383843
183,0.3371204147866525,0.3300412226395929,0.33283836257375454
184,0.34219503580468247,0.32264722968906306,0.3351577345062545
185,0.33391742543156117,0.3267936716691203,0.3392889028993185
186,0.33211325961043664,0.3263033745898849,0.34158336579967835
187,0.3343883629434108,0.32946664450527463,0.3361449925513146
188,0.3329538387232817,0.33469773026051974,0.33234843101619865
189,0.3335558484242265,0.328242502980889,0.33820164859488444
190,0.3370753782298154,0.32224852287813543,0.34067609889204914
191,0.335891691108693,0.3262459005740997,0.3378624083172074
192,0.33020735708029403,0.3307758058903252,0.33901683702938085
193,0.33589494141091464,0.32479446660332617,0.3393105919857592
194,0.33912172774090293,0.3229960762053901,0.33788219605370706
195,0.33305059959594663,0.32883977553445065,0.3381096248696028
196,0.3362175167708663,0.32648366216998176,0.33729882105915193
